# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	7390
#@/user_id	161cd1e2-ea2e-4a71-9961-66087a8541a4
a 	啊	c=47 d=3.2835 t=7198
liao 	料	c=0 d=0.1 t=3377
liao 	聊	c=1 d=1.00116 t=7277
liao jie 	瞭解	c=1 d=1 t=4487
liao yi xia 	聊一下	c=1 d=1 t=6386
lin shi 	臨時	c=2 d=1 t=5762
ling gan 	靈感	c=1 d=1 t=3758
ling wai 	另外	c=8 d=1.43195 t=7237
ling yi ge 	另一個	c=4 d=1.82283 t=6695
liu 	留	c=1 d=1 t=1530
liu gan 	流感	c=1 d=1 t=4348
liu lan qi 	瀏覽器	c=1 d=1 t=6148
liu xia 	留下	c=1 d=1 t=206
liu xing 	流行	c=0 d=0.1 t=3526
liu yue fen 	六月份	c=1 d=1 t=3975
liu zhu 	留住	c=1 d=1 t=5670
lou 	樓	c=1 d=1 t=1858
lou xia 	樓下	c=1 d=1 t=3572
lun 	論	c=1 d=1 t=7304
lun bu dao 	掄不到	c=1 d=1 t=6644
lun liu 	輪流	c=0 d=0.1 t=794
lun liu chuan 	輪流穿	c=1 d=1 t=795
luo dan 	羅丹	c=1 d=1 t=1410
luo dan 	落單	c=1 d=1 t=1411
luo di 	落地	c=1 d=1 t=2995
luo ji 	邏輯	c=4 d=1.58334 t=4880
luo si 	螺絲	c=0 d=0.1 t=2930
luo si fen 	螺絲粉	c=1 d=1 t=2931
luo si fu 	羅斯福	c=1 d=1 t=2930
luo suo 	羅嗦	c=1 d=1 t=4019
lv 	鋁	c=2 d=1.8825 t=4129
lv he jin 	鋁合金	c=1 d=1 t=4180
lv se 	綠色	c=1 d=1 t=3511
ma dan 	媽蛋	c=2 d=1.00427 t=5319
ma fan 	麻煩	c=6 d=1.00491 t=6960
ma ke 	馬克	c=1 d=1 t=5454
ma la song 	馬拉松	c=1 d=1 t=4811
ma le 	罵了	c=0 d=0.1 t=6679
ma le ge bi 	罵了隔壁	c=1 d=1 t=6680
ma nong 	碼農	c=1 d=1 t=644
ma shang 	馬上	c=2 d=1.08716 t=3225
ma song 	馬松	c=1 d=1 t=7319
ma tong 	馬桶	c=2 d=1.94649 t=1841
mai 	買	c=25 d=2.50412 t=6936
mai cai 	買菜	c=1 d=1 t=2595
mai che 	買車	c=1 d=1 t=2624
mai cuo piao 	買錯票	c=1 d=1 t=6681
mai dian 	買點	c=1 d=1 t=3383
mai ge 	買個	c=2 d=1.81058 t=2634
mai la 	買啦	c=1 d=1 t=1073
mai le 	買了	c=2 d=1.00001 t=3377
mai piao 	買票	c=1 d=1 t=6662
man 	慢	c=1 d=1 t=368
man ha dun 	曼哈頓	c=1 d=1 t=6503
man man 	慢慢	c=3 d=1.95123 t=6284
mang 	忙	c=1 d=1 t=1906
mang lu 	忙碌	c=1 d=1 t=2054
mang ren 	盲人	c=2 d=1.956 t=4898
mao 	貓	c=0 d=0.1 t=877
mao bo he 	貓薄荷	c=1 d=1 t=878
mao si 	貌似	c=7 d=1.0005 t=5975
mao zi 	毛子	c=1 d=1 t=3531
me 	麼	c=55 d=4.5022 t=7310
me you 	麼有	c=1 d=1 t=7176
mei 	沒	c=26 d=3.49665 t=7251
mei 	美	c=2 d=1.01851 t=6200
mei ban fa 	沒辦法	c=1 d=1 t=6279
mei bi yao 	沒必要	c=1 d=1 t=4888
mei chi guo 	沒吃過	c=1 d=1 t=5323
mei ci 	每次	c=3 d=1 t=7350
mei dai 	沒帶	c=1 d=1 t=2747
mei dian shu 	沒點數	c=1 d=1 t=2763
mei dong 	沒動	c=0 d=0.1 t=602
mei fa 	沒法	c=4 d=1 t=5821
mei gai 	沒改	c=1 d=1 t=3329
mei ge 	每個	c=1 d=1 t=3506
mei guan 	沒關	c=1 d=1 t=3367
mei guo 	美國	c=4 d=1.00006 t=5005
mei jin 	沒勁	c=1 d=1 t=7171
mei kan dao 	沒看到	c=1 d=1 t=442
mei kan jian 	沒看見	c=2 d=1.88692 t=526
mei lian hang 	美聯航	c=2 d=1.74826 t=6259
mei mai 	沒買	c=1 d=1 t=2954
mei miao 	每秒	c=1 d=1 t=4838
mei ne 	沒呢	c=1 d=1 t=903
mei ren 	沒人	c=2 d=1.00852 t=1514
mei ren zhu 	沒忍住	c=1 d=1 t=622
mei sha 	沒啥	c=6 d=1.08333 t=7060
mei shi 	沒事	c=4 d=1.00017 t=6527
mei shi er 	沒事兒	c=0 d=0.1 t=2910
mei shi er le 	沒事兒了	c=1 d=1 t=2911
mei shi jian 	沒時間	c=1 d=1 t=3186
mei shui 	沒睡	c=0 d=0.1 t=1669
mei shuo 	沒說	c=1 d=1 t=4401
mei tao qian 	沒掏錢	c=1 d=1 t=6360
mei tian 	每天	c=3 d=1.04686 t=3981
mei wo 	沒我	c=2 d=1.97531 t=704
mei xiang dao 	沒想到	c=1 d=1 t=3161
mei xie 	沒寫	c=1 d=1 t=5492
mei yong 	沒用	c=1 d=1 t=669
mei yong guo 	沒用過	c=1 d=1 t=6989
mei you 	沒有	c=31 d=2.90634 t=7200
mei you che 	沒有車	c=1 d=1 t=2867
mei yuan 	美元	c=1 d=1 t=2099
mei za 	沒咋	c=2 d=1.00001 t=3934
mei zhang 	每張	c=1 d=1 t=6417
mei zhen 	每幀	c=3 d=2.7432 t=3761
mei zhun 	沒準	c=1 d=1 t=6548
men 	們	c=1 d=1 t=6566
men 	門	c=1 d=1 t=6430
men ke 	門課	c=0 d=0.1 t=2001
mi 	米	c=1 d=1 t=4169
mi fen 	米粉	c=2 d=1.07639 t=2920
mi fen dian 	米粉店	c=1 d=1 t=2921
mi guo 	米國	c=4 d=1.00012 t=6570
mi ma 	密碼	c=1 d=1 t=2221
mi ma xue 	密碼學	c=1 d=1 t=5077
mi mi 	咪咪	c=0 d=0.1 t=3559
mi mi tou 	咪咪頭	c=1 d=1 t=3560
mian 	麪	c=4 d=1 t=5507
mian bu 	面部	c=1 d=1 t=2061
mian fei 	免費	c=2 d=1 t=6964
mian ji 	面積	c=1 d=1 t=1602
mian qiang 	勉強	c=1 d=1 t=5040
miao 	秒	c=4 d=3.90671 t=4012
mie 	咩	c=3 d=1.00005 t=4786
min gan 	敏感	c=1 d=1 t=4281
ming 	名	c=1 d=1 t=3919
ming 	命	c=1 d=1 t=4050
ming bai 	明白	c=2 d=1.00086 t=6597
ming dan 	名單	c=1 d=1 t=3624
ming er 	名兒	c=1 d=1 t=3862
ming er 	明兒	c=1 d=1 t=3863
ming fu qi shi 	名符其實	c=1 d=1 t=4812
ming ling 	命令	c=3 d=1.00344 t=5777
ming ren 	名人	c=1 d=1 t=3148
ming sheng 	名聲	c=1 d=1 t=2071
ming tian 	明天	c=24 d=2.42199 t=7321
ming xiang 	冥想	c=2 d=1.9802 t=344
ming zi 	名字	c=4 d=1.00039 t=6914
mo 	摸	c=3 d=2.9218 t=4901
mo chu 	抹除	c=1 d=1 t=7073
mo fang 	魔方	c=2 d=1.99501 t=3986
mo ren 	默認	c=1 d=1 t=7098
mo shi 	模式	c=1 d=1 t=5635
mo xing 	魔性	c=1 d=1 t=723
mou 	某	c=1 d=1 t=4606
mou xie 	某些	c=1 d=1 t=193
mu di 	目的	c=1 d=0.1 t=3151
mu you 	木有	c=3 d=1.00041 t=5175
na 	吶	c=2 d=1.56836 t=7344
na 	哪	c=1 d=1.03182 t=4431
na 	拿	c=1 d=1 t=589
na 	那	c=18 d=1.04694 t=7346
na ban 	那班	c=1 d=1 t=6232
na bian 	那邊	c=1 d=1 t=4131
na dao 	拿到	c=1 d=1 t=6450
na di fang 	那地方	c=1 d=1 t=1364
na dou xing 	哪都行	c=1 d=1 t=1880
na ge 	哪個	c=9 d=1 t=6025
na ge 	那個	c=10 d=1.78317 t=7130
na gei 	拿給	c=1 d=1 t=3128
na jiu 	那就	c=2 d=1.00723 t=3927
na lai 	哪來	c=1 d=1 t=5983
na lai de gou 	那來的狗	c=1 d=1 t=3562
na li 	哪裏	c=2 d=1.0296 t=7378
na me 	那麼	c=2 d=1 t=6560
na men 	納悶	c=1 d=1 t=6175
na men 	那門	c=3 d=1.00003 t=6174
na ni 	納尼	c=1 d=1 t=5205
na shi 	那是	c=1 d=1 t=4832
na tian 	哪天	c=2 d=1.04285 t=2752
na tian 	那天	c=2 d=1.11418 t=3439
na wan shang 	那晚上	c=1 d=1 t=6475
na xie 	那些	c=1 d=1 t=5684
na yang 	那樣	c=2 d=1.00737 t=4022
na yi 	哪一	c=0 d=0.1 t=2444
na yi nian 	哪一年	c=2 d=1.00006 t=4387
na zhang 	那張	c=1 d=1 t=7335
na zhong 	那種	c=3 d=1.00001 t=7332
nai niu 	奶牛	c=1 d=1 t=2327
nan 	難	c=2 d=1.00026 t=2523
nan dao 	難道	c=4 d=1.24547 t=7190
nan de 	男的	c=1 d=1 t=1715
nan du 	難度	c=1 d=1 t=7166
nan fang 	南方	c=0 d=0.1 t=2335
nan fang gong yuan 	南方公園	c=1 d=1 t=2336
nan shou 	難受	c=1 d=1 t=1124
nang 	饢	c=1 d=1 t=1482
nao hai 	腦海	c=1 d=1 t=6886
nao hai li 	腦海裏	c=1 d=1 t=5088
ne 	呢	c=23 d=1.22737 t=5692
nei xiang 	內向	c=1 d=1 t=5020
nei zhi 	內置	c=4 d=1.37257 t=6012
neng 	能	c=23 d=2.97305 t=6974
neng bu neng 	能不能	c=1 d=1 t=4717
neng li 	能力	c=3 d=1.00001 t=4234
neng mai 	能買	c=1 d=1 t=2602
neng yong 	能用	c=1 d=1 t=2991
neng zou 	能走	c=1 d=1 t=2093
ni 	你	c=165 d=4.46897 t=7325
ni jiu 	你就	c=1 d=1 t=2378
ni kan 	你看	c=1 d=1 t=5388
ni men 	你們	c=17 d=2.50964 t=7125
ni na 	你那	c=1 d=1 t=1580
ni shuo 	你說	c=1 d=1 t=3909
ni xiang 	你想	c=1 d=1 t=5698
ni yao 	你要	c=1 d=1 t=4217
ni you 	你有	c=1 d=1 t=5229
ni zhi dao 	你知道	c=1 d=1 t=807
nian 	年	c=1 d=1.00009 t=3854
nian dai 	年代	c=2 d=1.11884 t=2443
nian ji 	年紀	c=1 d=1 t=1789
nian le 	唸了	c=1 d=1 t=2436
nian nei 	年內	c=1 d=1 t=3887
nian qian 	年前	c=2 d=1.95123 t=3856
niao 	尿	c=1 d=1 t=1850
nin 	您	c=2 d=1.00001 t=3289
nin hao 	您好	c=1 d=1 t=847
ning yuan 	寧願	c=1 d=1 t=2432
niu bi 	牛逼	c=2 d=1.00039 t=3803
niu nai 	牛奶	c=3 d=1.72065 t=2326
niu yue 	紐約	c=1 d=1 t=1019
nong 	弄	c=2 d=1 t=5773
nong cuo 	弄錯	c=2 d=1.4607 t=6675
nong dao 	弄到	c=1 d=1 t=2153
nong guo 	弄過	c=1 d=1 t=1734
nong le 	弄了	c=1 d=1 t=393
nong wan 	弄完	c=1 d=1 t=3330
nong wan 	弄彎	c=2 d=1.99501 t=3326
nong xia 	弄下	c=1 d=1 t=7265
nu li 	努力	c=5 d=4.72458 t=2422
nv er 	女兒	c=1 d=1 t=3908
o 	哦	c=6 d=2.3069 t=3214
o 	噢	c=8 d=1.06726 t=7360
o o 	哦哦	c=2 d=1.00019 t=2728
ou er 	偶爾	c=1 d=1 t=6397
pa 	怕	c=2 d=1.00003 t=6669
pai gu 	排骨	c=2 d=1.96561 t=5324
pai hang bang 	排行榜	c=1 d=1 t=288
pao 	泡	c=0 d=0.1 t=4183
pao 	跑	c=3 d=1.00002 t=5455
pao fu 	泡芙	c=1 d=1 t=3075
pao guang 	拋光	c=3 d=2.77386 t=4128
pao hao cha 	泡好茶	c=1 d=1 t=4184
pao le 	跑了	c=1 d=1 t=3321
pao mian 	泡麪	c=2 d=1 t=4028
pao qi 	拋棄	c=1 d=1 t=4699
pao qu 	跑去	c=1 d=1 t=2075
pei 	配	c=1 d=1 t=1480
pei zhi 	配置	c=6 d=2.41788 t=7123
peng 	碰	c=3 d=1 t=7093
peng dao 	碰到	c=1 d=1 t=94
peng ren 	烹飪	c=1 d=1 t=1268
peng you 	朋友	c=2 d=1 t=5383
peng zhuang 	碰撞	c=1 d=1 t=2959
pi jiu 	啤酒	c=4 d=2.6545 t=5381
pian 	騙	c=1 d=1 t=5260
pian yi 	便宜	c=5 d=2.6724 t=6418
ping 	憑	c=1 d=1 t=5132
ping bi 	屏蔽	c=1 d=1 t=6373
ping guo 	蘋果	c=1 d=1 t=6984
ping heng 	平衡	c=1 d=1 t=2317
ping mu 	屏幕	c=2 d=1 t=3557
ping shi 	平時	c=1 d=1 t=4737
ping tai 	平臺	c=1 d=1 t=6971
pu tong 	普通	c=1 d=1 t=1313
qi 	其	c=2 d=1 t=3915
qi 	器	c=0 d=0.1 t=1334
qi 	起	c=1 d=1 t=3916
qi bing 	騎兵	c=0 d=0.1 t=2583
qi ci 	其次	c=1 d=1 t=2168
qi de 	起得	c=0 d=0.1 t=2807
qi de lai 	起得來	c=1 d=1 t=2808
qi fu 	欺負	c=1 d=1 t=1404
qi gu xiang dang 	旗鼓相當	c=1 d=1 t=895
qi guai 	奇怪	c=5 d=1.00008 t=5303
qi ji 	柒記	c=1 d=1 t=2929
qi lai 	起來	c=4 d=1 t=6940
qi ma 	起碼	c=1 d=1 t=6773
qi shi 	其實	c=8 d=1.52548 t=7040
qi shi 	騎士	c=3 d=1.68074 t=4708
qi ta 	其他	c=7 d=1.00207 t=5671
qi ta ge 	其他歌	c=1 d=1 t=982
qi yuan 	起源	c=1 d=1 t=1661
qian 	前	c=2 d=1.09111 t=6702
qian 	欠	c=3 d=2.78724 t=857
qian 	錢	c=2 d=1 t=6739
qian ban 	前半	c=0 d=0.1 t=6203
qian ban cheng 	前半程	c=1 d=1 t=6204
qian le 	簽了	c=1 d=1 t=1107
qian ming 	簽名	c=2 d=1.00001 t=7195
qian ni qian 	欠你錢	c=1 d=1 t=810
qian tian 	前天	c=1 d=1 t=1305
qian tu wu liang 	前途無量	c=1 d=1 t=2268
qian wen 	前文	c=1 d=1 t=1901
qian xu hang ban 	前續航班	c=1 d=1 t=6684
qiang 	強	c=1 d=1 t=1601
qiang 	搶	c=1 d=1.09704 t=1064
qiang 	槍	c=0 d=0.1 t=2583
qiang bu zhao 	搶不着	c=1 d=1 t=1059
qiang qi bing 	槍騎兵	c=1 d=1 t=2584
qiang shang 	牆上	c=1 d=1 t=505
qiang zhao 	搶着	c=1 d=1 t=1070
qie 	切	c=1 d=1 t=4031
qie huan 	切換	c=2 d=1.25924 t=7387
qin ce 	親測	c=1 d=1 t=4333
qing 	清	c=1 d=1 t=6141
qing 	請	c=1 d=1 t=2044
qing cai 	青菜	c=1 d=1 t=2939
qing chu 	清楚	c=1 d=1 t=5311
qing ni 	請你	c=1 d=1 t=5414
qing qiu 	請求	c=1 d=1 t=1752
qing wen 	請問	c=1 d=1 t=3613
qing zhu 	慶祝	c=1 d=1 t=3455
qiong ju 	窮舉	c=1 d=1 t=4059
qiu zhu 	求助	c=2 d=1.00255 t=4275
qu 	去	c=44 d=1.66079 t=7129
qu 	取	c=5 d=1.0529 t=6164
qu ba 	去吧	c=1 d=1 t=3544
qu bie 	區別	c=3 d=1.10077 t=4835
qu cheng 	去程	c=1 d=1 t=6756
qu diao 	去掉	c=2 d=1.00005 t=4459
qu fen 	區分	c=1 d=1 t=4313
qu na 	去哪	c=3 d=1.05929 t=2051
qu na ge 	去那個	c=1 d=1 t=201
qu nian 	去年	c=2 d=1.00013 t=2058
qu xiao 	取消	c=1 d=1 t=3033
qu yu 	區域	c=4 d=2.7748 t=5730
quan 	全	c=1 d=1 t=5673
quan jiao 	全角	c=1 d=1 t=7390
quan kao 	全靠	c=2 d=1.00723 t=4814
quan mian 	全面	c=1 d=1 t=6760
quan xian 	權限	c=2 d=1.72253 t=6084
quan yao 	全要	c=1 d=1 t=5410
que ding 	確定	c=2 d=1.64726 t=6087
que ren 	確認	c=2 d=1.97045 t=2952
que shi 	確實	c=3 d=1.56553 t=6921
que xi 	缺席	c=1 d=1 t=1400
qun 	羣	c=2 d=1.94176 t=7315
ran 	然	c=1 d=1 t=1883
ran hou 	然後	c=18 d=1.4867 t=6776
ran le 	染了	c=1 d=1 t=1012
rang 	讓	c=4 d=0.133041 t=7054
rang ni 	讓你	c=1 d=1 t=3784
rang ren 	讓人	c=1 d=1 t=1245
rang ta 	讓它	c=2 d=1.5975 t=3262
rang wo 	讓我	c=3 d=1.00021 t=4579
rang wo men 	讓我們	c=1 d=1 t=7055
re dian 	熱點	c=0 d=0.1 t=3584
re nao 	熱鬧	c=2 d=1.91851 t=6552
re si 	熱死	c=1 d=1 t=1361
ren 	人	c=27 d=1.74454 t=6885
ren he 	任何	c=2 d=1 t=7096
ren lei 	人類	c=1 d=1 t=2355
ren men 	人們	c=2 d=1.00282 t=1961
ren min bi 	人民幣	c=1 d=1 t=6239
ren ren 	人人	c=2 d=1.12063 t=2391
ren shu 	人數	c=3 d=2.30099 t=219
ren wei 	認爲	c=1 d=1 t=789
ren wu 	任務	c=1 d=1.00059 t=4607
ren xing 	人性	c=3 d=1 t=7312
ren zhen 	認真	c=1 d=1 t=2783
ren zhu 	忍住	c=1 d=1 t=2782
reng 	扔	c=1 d=1 t=1338
reng le 	扔了	c=1 d=1 t=1337
ri ben che 	日本車	c=2 d=1.99501 t=2594
rong xing 	榮幸	c=0 d=0.1 t=368
rong yu 	冗餘	c=1 d=1 t=1401
rou 	揉	c=1 d=1 t=1869
rou 	柔	c=1 d=1.099 t=6655
rou jia mo 	肉夾饃	c=1 d=1 t=1079
ru guo 	如果	c=32 d=1.93779 t=7213
ru he 	如何	c=6 d=1.00001 t=6371
ru kou 	入口	c=0 d=0.1 t=6653
ru kou rou 	入口柔	c=1 d=1 t=6654
ru xia 	如下	c=1 d=1 t=7100
ruan jian 	軟件	c=1 d=1 t=3945
ruo 	若	c=2 d=1 t=5645
sai 	塞	c=1 d=1 t=3222
sai che shou 	賽車手	c=1 d=1 t=2614
sai er 	塞爾	c=0 d=0.1 t=1251
sai er da 	塞爾達	c=6 d=3.16782 t=1678
san 	三	c=1 d=1.03151 t=2025
san ling 	三菱	c=3 d=2.92168 t=2583
san ren cheng hu 	三人成虎	c=2 d=1.96561 t=891
san si 	三四	c=0 d=0.1 t=2034
san si wu liu 	三四五六	c=1 d=1 t=2035
se cai 	色彩	c=3 d=1.00307 t=3498
se qing 	色情	c=1 d=1 t=3621
sha 	啥	c=17 d=1.21236 t=6840
sha bi 	傻逼	c=4 d=2.44841 t=2262
sha sha 	啥啥	c=1 d=1 t=5349
shan 	刪	c=1 d=1 t=5674
shan bei 	扇貝	c=1 d=1 t=2435
shan diao 	刪掉	c=3 d=1.04395 t=4395
shan yi 	善意	c=1 d=1 t=849
shang 	上	c=15 d=1.08737 t=6004
shang bi 	上比	c=1 d=1 t=7179
shang bi 	上筆	c=1 d=1 t=7184
shang ci 	上次	c=3 d=1.33125 t=3597
shang dian 	商店	c=1 d=1 t=6986
shang hai 	傷害	c=2 d=1.94176 t=1652
shang ke 	上課	c=6 d=1.00043 t=6380
shang lou 	上樓	c=2 d=1.99005 t=3297
shang mian 	上面	c=5 d=1.09234 t=7144
shang na 	上哪	c=1 d=1 t=7204
shang qu 	上去	c=1 d=1 t=304
shang shi 	上市	c=2 d=1.99501 t=6354
shang tu 	上圖	c=1 d=1 t=7384
shang xian 	上限	c=1 d=1 t=83
shang yi ge 	上一個	c=0 d=0.1 t=7208
shang yi ge kuai 	上一個塊	c=1 d=1 t=7209
shang zhou 	上週	c=1 d=1 t=1060
shao le 	燒了	c=1 d=1 t=6367
shao wei 	稍微	c=1 d=1 t=1180
she bao 	社保	c=0 d=0.1 t=5175
she bao ka 	社保卡	c=1 d=1 t=5176
she bei 	設備	c=1 d=1 t=1623
she chi 	奢侈	c=1 d=1 t=798
she hui 	社會	c=1 d=1 t=2356
she ji 	涉及	c=2 d=1.00081 t=7301
she ji 	設計	c=3 d=1.00002 t=7302
she jiao 	社交	c=0 d=0.1 t=5020
she jiao kong ju 	社交恐懼	c=1 d=1 t=5021
she xiang 	設想	c=1 d=1 t=5124
she xiang tou 	攝像頭	c=6 d=1.35428 t=6132
she zhi 	設置	c=2 d=1.00001 t=4918
shen 	神	c=0 d=0.1 t=7267
shen de 	深得	c=0 d=0.1 t=1366
shen de jin qu 	深得進去	c=1 d=1 t=1367
shen ke 	深刻	c=1 d=1 t=1243
shen me 	什麼	c=12 d=2.65089 t=7090
shen me zhuang tai 	什麼狀態	c=1 d=1 t=2758
shen mei 	審美	c=1 d=1 t=2209
shen qi 	神奇	c=1 d=1 t=6679
shen shang 	身上	c=1 d=1 t=3399
shen ti 	審題	c=1 d=1 t=7036
shen ti 	身體	c=2 d=1.0002 t=3958
sheng 	剩	c=1 d=1 t=1535
sheng 	省	c=1 d=1 t=6192
sheng cheng 	生成	c=2 d=1.0599 t=5498
sheng ji 	升級	c=1 d=1 t=7070
sheng jian 	聖劍	c=1 d=1 t=4039
sheng le 	生了	c=0 d=0.1 t=3906
sheng le ge 	生了個	c=1 d=1 t=3907
sheng qian 	省錢	c=1 d=1 t=4749
sheng xiao 	生效	c=1 d=1.02322 t=7359
sheng yin 	聲音	c=1 d=1 t=853
sheng zai 	生在	c=1 d=1 t=1238
sheng zhang 	生長	c=1 d=1 t=3732
shi 	事	c=0 d=0.100013 t=4142
shi 	使	c=1 d=1 t=2302
shi 	師	c=0 d=0.1 t=2125
shi 	是	c=129 d=3.71309 t=7376
shi 	時	c=4 d=1.00001 t=6877
shi 	氏	c=1 d=1 t=1403
shi 	試	c=1 d=1 t=3962
shi ba 	是吧	c=2 d=1 t=4332
shi bai 	失敗	c=1 d=1 t=924
shi bai lun 	失敗論	c=1 d=1 t=923
shi bie 	識別	c=1 d=1 t=2062
shi bu shi 	是不是	c=8 d=1.01563 t=6673
shi cha 	時差	c=1 d=1 t=6466
shi er 	事兒	c=2 d=1.87372 t=1959
shi he 	適合	c=1 d=1 t=5744
shi hou 	時候	c=11 d=1.94661 t=7083
shi ji 	世紀	c=1 d=1 t=560
shi ji nian 	十幾年	c=1 d=1 t=6833
shi jian 	時間	c=5 d=1.03903 t=7307
shi jian dan wei 	時間單位	c=1 d=1 t=3637
shi jie 	世界	c=1 d=1 t=2357
shi jun li di 	勢均力敵	c=1 d=1 t=894
shi le me 	試了麼	c=1 d=1 t=3965
shi ma 	是嗎	c=1 d=1 t=3949
shi me 	是麼	c=2 d=1.00219 t=3734
shi pei 	適配	c=2 d=1.98511 t=2188
shi pin 	視頻	c=7 d=1.0171 t=4837
shi qing 	事情	c=9 d=1.61645 t=6389
shi sha 	是啥	c=4 d=1.63445 t=6126
shi shi 	試試	c=7 d=1.00664 t=6991
shi shuo 	是說	c=1 d=1 t=3050
shi shuo 	時說	c=1 d=1 t=3049
shi xian 	實現	c=3 d=1.00117 t=5952
shi yong 	使用	c=1 d=1 t=5363
shi zai 	是在	c=1 d=1 t=4799
shi zhe 	試着	c=1 d=1 t=4869
shi zong 	失蹤	c=1 d=1 t=2535
shou 	手	c=1 d=1 t=2703
shou 	瘦	c=1 d=1 t=4164
shou dao 	收到	c=2 d=1.89583 t=4975
shou gong 	收工	c=1 d=1 t=3495
shou guo 	收過	c=1 d=1 t=3059
shou ji 	手機	c=5 d=1.7827 t=7000
shou ku 	受苦	c=2 d=1.80654 t=2324
shou le 	收了	c=0 d=0.1 t=1162
shou le qian 	收了錢	c=1 d=1 t=1163
shou shang hai 	受傷害	c=1 d=1 t=2249
shou shi 	收拾	c=1 d=1 t=1332
shou xian 	首先	c=2 d=1.00001 t=4434
shou yin ji 	收音機	c=1 d=1 t=1925
shu 	數	c=2 d=1.00094 t=6781
shu 	書	c=1 d=1 t=5079
shu 	樹	c=1 d=1 t=5389
shu 	輸	c=2 d=1 t=6665
shu biao 	鼠標	c=2 d=1.94649 t=3826
shu chu 	輸出	c=1 d=1 t=5989
shu fu 	舒服	c=1 d=1 t=2491
shu gen 	樹根	c=1 d=1 t=5395
shu jia 	暑假	c=3 d=1.00021 t=6706
shu ju 	數據	c=4 d=2.12794 t=4636
shu kou shui 	漱口水	c=2 d=1.97045 t=1358
shu ru 	輸入	c=4 d=3.03109 t=835
shu ru duan 	輸入端	c=1 d=1 t=320
shu ru fa 	輸入法	c=7 d=1.53261 t=7118
shu shu 	數數	c=1 d=1 t=3554
shu xi 	熟悉	c=1 d=1 t=5025
shu yu 	屬於	c=2 d=1.00233 t=3816
shu zi 	數字	c=2 d=1.956 t=5845
shua 	刷	c=0 d=0.1 t=3231
shua xin 	刷新	c=7 d=1.00002 t=6143
shua ya 	刷牙	c=2 d=1 t=5398
shua you jian 	刷郵件	c=1 d=1 t=3232
shuai 	帥	c=3 d=1 t=4274
shuai 	摔	c=1 d=1 t=4006
shuai dao 	摔倒	c=1 d=1 t=4011
shuai le 	摔了	c=1 d=1 t=1853
shuai xia qu 	摔下去	c=1 d=1 t=1859
shuang ceng 	雙層	c=1 d=1 t=1586
shuang ji 	雙擊	c=2 d=1.64404 t=7152
shuang pin 	雙拼	c=2 d=1.99005 t=6
shui 	水	c=1 d=1 t=1835
shui 	睡	c=8 d=1.9243 t=5399
shui 	誰	c=2 d=1.08897 t=5145
shui ba 	睡吧	c=8 d=1.01128 t=7275
shui guan ni 	誰管你	c=1 d=1 t=3055
shui hui er 	睡會兒	c=1 d=1 t=3472
shui jiao 	睡覺	c=10 d=1.00073 t=5173
shui jiao la 	睡覺啦	c=1 d=1 t=1144
shui la 	睡啦	c=1 d=1 t=1173
shui le 	睡了	c=7 d=1 t=6803
shui ping 	水平	c=1 d=1 t=674
shui qu 	睡去	c=1 d=1 t=2836
shui rang 	誰讓	c=1 d=1 t=873
shui wu jiao 	睡午覺	c=1 d=1 t=4029
shui xing 	睡醒	c=2 d=1 t=7276
shui zhao 	睡着	c=1 d=1 t=1683
shun bian 	順便	c=1 d=1 t=1137
shun fa 	順發	c=0 d=0.1 t=1368
shun fa da lian 	順發打臉	c=1 d=1 t=1369
shun xu 	順序	c=1 d=1 t=6069
shuo 	說	c=29 d=3.55594 t=7262
shuo de 	說的	c=0 d=0.1 t=3256
shuo de dui 	說的對	c=1 d=1 t=3257
shuo hua 	說話	c=2 d=1.01005 t=1766
shuo ming 	說明	c=2 d=1 t=4769
shuo ming shu 	說明書	c=1 d=1 t=1341
shuo qing chu 	說清楚	c=1 d=1 t=5940
si 	四	c=1 d=1 t=2026
si 	死	c=6 d=1.05116 t=1861
si hu 	似乎	c=1 d=1 t=7067
si kao 	思考	c=1 d=1 t=1211
si lu 	思路	c=2 d=1.90484 t=938
si shen 	死神	c=0 d=0.1 t=4266
si shen lai le 	死神來了	c=1 d=1 t=4267
si wang 	死亡	c=1 d=1 t=100
si xia 	私下	c=2 d=1.96561 t=5201
si zai 	死在	c=1 d=1 t=1882
sou 	搜	c=2 d=1 t=7016
sou chu 	搜出	c=0 d=0.1 t=7017
sou chu lai 	搜出來	c=2 d=1.97045 t=7024
sou le 	搜了	c=1 d=1 t=768
sou suo 	搜索	c=3 d=1.00017 t=6987
sou suo dao 	搜索到	c=1 d=1 t=1057
su cai 	素材	c=1 d=1 t=2454
su du 	速度	c=2 d=1 t=5421
su she 	宿舍	c=3 d=1 t=6627
suan 	算	c=1 d=1 t=4566
suan fa 	算法	c=1 d=1 t=4844
suan la 	算啦	c=1 d=1 t=490
suan la 	酸辣	c=0 d=0.1 t=975
suan la fen 	酸辣粉	c=2 d=1.10435 t=1428
suan le 	算了	c=1 d=1 t=6289
suan nai 	酸奶	c=1 d=1 t=3653
sui bian 	隨便	c=4 d=1.00066 t=5593
sui ji 	隨機	c=2 d=1 t=4722
suo ping 	鎖屏	c=1 d=1 t=7028
